"filename", "language", "Swift", "XML", "JSON", "comment", "blank", "total"
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/AAA_Canteen_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/AAB_Takeout_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/AAB_Takeout_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/AAB_Takeout_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/AAC_Goout_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/AAC_Goout_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/AAC_Goout_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/ABA_Snack_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/ABA_Snack_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/ABA_Snack_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/ABB_Drink_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/ABB_Drink_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/ABB_Drink_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/ABC_Fruit_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/ABC_Fruit_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/ABC_Fruit_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BA_Clothes_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BA_Clothes_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BA_Clothes_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BB_Skin_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BB_Skin_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BB_Skin_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BC_Hair_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BC_Hair_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BC_Hair_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BD_LifeOthers_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BD_LifeOthers_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BD_LifeOthers_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BE_Electronics_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BE_Electronics_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/BE_Electronics_03.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/CAA_WaterPower_01.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
"/Users/linboyan/Desktop/SD/swift/PersonalProjects/HorseAccounting/HorseAccounting/Assets.xcassets/icons_01/CAA_WaterPower_02.imageset/Contents.json", "JSON", 0, 0, 21, 0, 1, 22
